Data for Latitude:25.0 Longitude:65.0 on Date:2011-01-05 on Level:500 mb 
Date		Time		Temperature(K)		Temperature(deg C)
 00:00:00	2011-01-05		261K				-11C
 01:00:00	2011-01-05		261K				-12C
 02:00:00	2011-01-05		261K				-12C
 03:00:00	2011-01-05		260K				-12C
 04:00:00	2011-01-05		260K				-12C
 05:00:00	2011-01-05		260K				-12C
 06:00:00	2011-01-05		260K				-12C
 07:00:00	2011-01-05		260K				-12C
 08:00:00	2011-01-05		260K				-12C
 09:00:00	2011-01-05		261K				-12C
 10:00:00	2011-01-05		261K				-11C
 11:00:00	2011-01-05		261K				-11C
 12:00:00	2011-01-05		262K				-10C
 13:00:00	2011-01-05		262K				-10C
 14:00:00	2011-01-05		262K				-10C
 15:00:00	2011-01-05		262K				-10C
 16:00:00	2011-01-05		262K				-10C
 17:00:00	2011-01-05		262K				-10C
 18:00:00	2011-01-05		262K				-10C
 19:00:00	2011-01-05		262K				-10C
 20:00:00	2011-01-05		262K				-10C
 21:00:00	2011-01-05		262K				-10C
 22:00:00	2011-01-05		262K				-10C
 23:00:00	2011-01-05		262K				-10C 
